text_review,star_rating,lr_prediction,svm_prediction,rf_prediction,gb_prediction,nb_prediction,nn_feedforward_prediction,nn_lstm_prediction,roberta_prediction
"I've been to Bookman's a few times and have mixed feelings about it. If you're going just to look around, it's fun to see all the stuff they have in there. Between the movie selection, CD's, books and trinkets, it was fun to shop around. But, as someone interested in selling to them, I would never do that again. I brought in a huge selection of books I was interested in selling and they only took 4 of the books and offered me a few measely dollars. I was shocked. I understand they need to make a profit but I wasn't even getting $1 for each book they wanted. A total rip off if you ask me and a waste of time waiting for them to look through my stuff. I'm not sure if I will be returning anytime soon.",3,5,5,5,4,1,3,3,1
"These are simply the BEST sandwiches and salads. If you like your food (a) locally grown; (b) freshly made; (c) organic/all natural; and (d) yummy - and who doesn't? - this is the place for you.

Now, admittedly they have something of a soup-nazi routine set up and if you walk in and don't know the drill, it can be confusing.  So pay attention:   
1.  Look at menu.
2.  Decide what you want.
3.  Wait your turn to order.
4.  Order (give your name).
5.  Wait your turn to be called to pay the other girl for the order you placed.
6.  Pay her.
7.  Wait until your food is ready.
8.  Leave with your food.

Note that there is no place to sit inside - so you can either sit outside, or, (if it is 157 degrees out that day), see if you can find a place to sit over at LUX, they are very welcoming of Pane Bianco diners. 

It's all good.",5,1,3,4,4,1,4,3,4
"Every friday, my dad and I eat here. We order the same thing... pizza wraps. they are good and fillng. iced tea hits the spot. Typical strip mall pizza.",3,3,4,4,4,3,4,4,4
"Three stellar write-ups pushed me over the edge and I decided that it was time to take my self for a much needed pedi. When I arrived, the place was packed, but thankfully they gladly take walk-ins and I had only a brief wait before I was whisked away to my massaging, bubbling chair of goodness.

I have to echo the other reviewer's comments on cleanliness and down-right bargain for the service provided. Not once did I have that ""eww, you aren't actually going to touch me with that"" reaction. I didn't swoon from toxic vapors as soon as opening the door. And my attendant was super friendly and completely cool with the fact that I had clearly neglected my heals for the last two months (something that was hugely apparent after she started filing away - how mortifying... skin flying everywhere!!!)

And for those of you that might fear the Elaine experience (Seinfeld reference), fret not. You can actually understand everyone one that works here and shouldn't find yourself sitting and wondering ""what in the hell are they saying about me now?""

Take your twenty-bucks (plus a little extra for tip - unless you get flowers you will need thirty) and go get some much deserved pampering. 

Dear Paulene - my toes and heals thank you for the love! -- see pic ; )",4,5,5,5,4,1,5,5,5
"Although a huge fan of bloody food. I have to say, Green is really damn good. As a former cook at Spiral Diner, I always checked out veg joints in other states, and rarely liked any of it. Green is great. even the faux meat dishes, which are usually the least impressive. Keep up the good work.",4,3,5,4,4,4,4,4,4
"Love this place!  Went for a stay-cation with the girls for a spa day and stayed the night.  I can't wait to go back!  You are in the city but feels miles away!  The spa is amazing!  Wonderful adults only pool with great refreshing food and drinks.  Then our rooms were clean and comfortable.  Dinner at Kai was nothing short of superb, and breakfast the next morning on the patio over looking the golf course and pool area was also very good.  Overall a wonderful night away.",5,5,5,5,4,4,5,4,5
"I love that this place has top seafood plates and choices. The services is hit and miss but once i went in with three friends and we sat at the sushi bar and they saw we weren't getting service they grabbed our order right away. Happy hour is good and drinks aren't expensive anyhow so drinkers celebrate! Cherry roll (i do it without sauce), octopus, anything with their eels, i love the quality of salmon as well. The best part is that FOOD IS SERVED TILL 2AM!!",4,4,4,4,5,3,5,5,4
"If you order a top shelf liquor from the bar I suggest strongly you watch them pour.  We had a gift certificate to use, the first time we tried we sat in the bar waiting for our table.  Ordered 1 Grey Goose gimlet, and one just vodka gimlet.  We watched the bar tender pour just that, when we received the bill we were charged for 2 grey goose.  When we brought it to the bartenders attention she lied and said they were both grey goose.  We waited so long for a table we left, and thought we would try again some other time.  Next time, we ordered 2 Grey Goose gimlets, they gave us gibsons.  When we sent them back waiter returned with our drinks in a tall water glass.  They were horrible tasting.  This time we returned them ourselves to the bar.  Turns out they had to admit, because we were standing there, they were out of Grey Goose and asked if the could sub, and we agreed.  10 mins later we over heard a waiter bring out a ""Grey Goose"" on the rocks to the table next to us.  Pretty shady!! Food was okay, service marginal.  For the $$$ I would rather go to El Posto or Pizza A Metro.",2,2,1,1,1,1,1,3,1
"This go around I opted for the bacon egg and cheese breakfast burrito (served all day!) and lengua (tongue), cabeza (head, and cheek meat), and carnitas (roasted pork) tacos.  

The breakfast burrito was the tastiest, bacon filled treat I have ever had! I love bacon, and if you don't love it as much as I do, the bacon overload may be too much, I swear there might be more bacon than egg in this bacon bomb!

I should have figured that with a price of $2.50 per taco they would be slightly bigger than the average taqueria taco.  The size of these things are gAstronomical, and the flavor of each are equally proportional, the lengua, however,  would've probably been better if it hadn't been sitting in the cold whilst I ate the other three items!

I will no longer be eating carne asada at this place when I have the option of carnitas, cabeza, lengua, or bacon.  I advise you to do the same!",5,3,5,5,3,3,3,3,4
"1 star for service, but the food is not ok :( they literally put 4 pieces of chicken on my taco. I let that go & figured was a mistake. When I went again, ordered different item & same result. Little to no meat. I will not be going back.",1,1,1,4,3,2,1,2,1
"Good food and able to manage a large group easily. Our party had 11 and there wasn't a long wait at all. Highlights: spinach and artichoke dip, onion rings, and tortilla soup. Total tab was only $160 for the whole group.",4,3,3,4,5,3,4,4,4
"Bar & restaurant.  In that order.

Danielle Ammaccapane was an LPGA player, graduated from Thunderbird HS just a few miles away...as did her LPGA-player sister, Dina.  I went to THS and graduated same year as Danielle (1983), just sayin...

I love this place.  It's a great ""Cheers"" style bar, as much as one loathes hearing that type of characterization.  Italian food here is solid, and the cocktails have a punch.  Nice place to watch football at the bar when by oneself, too.",4,5,5,5,4,4,4,4,4
"This place is a very chill wine bar. Came here after flying in for work and wanted something that would be light, have a good wine selection, and a nice outdoor patio/bar area. Daily Dose fulfills each of those items. 

You MUST get the bruchetta plate.",4,4,3,4,4,3,4,4,4
Glorified Pei Wei,3,3,3,5,5,3,4,1,5
Amazing food and I prefer the atmosphere at this location.,4,5,2,5,5,5,5,4,4
"I enjoyed my nights here.  The facilities are clean and very well maintained.  Housekeeping staff is fantastic also.  They were not intrusive and they were hospitable.  

However, the ONE thing that bothered me was the reception staff.  I was mistreated.  I say this because I asked the reception staff a question about the pool hours and the response I received was ""Are you a guest here?""  Followed by ""because we get a lot of people around here...""  While that response is completely understandable, I must point out that I checked in an hour earlier with the SAME staff at the desk.  This may be me sounding like a self-centered, remember me-type of person, but no.  I felt that the receptionist was categorizing me because of my age and because of my look.  I guess I just look like the type that would crash into a hotel pool?  Mind you, this Residence Inn is adjacent to the Mayo Clinic and desert land.  Yes, the only two things around walking distance are this hotel and the hospital.  So apparently, this hotel pool must be the hot spot for pool crashers.  Must be all the sickly patients that want to take a dip in the pool.  

Then on the same occasion, the same reception staff told me that they did not have a bottle opener at the desk.  There is a small convenient store next to the reception desk that sells wine, beer, water, soda, snacks, etc.  I purchased a beer and asked them if they had a bottle opener so I could drink my beer by the fire pits and they said no.  It had been misplaced.  Some time later, the nice gentleman that helped me open my beer got beers at the reception desk and somehow, they magically had a bottle opener.  Strange how they had one for him, but not for me. 

Regardless, I was a bit bummed that the reception staff was childish and rude to me.  I felt like I was individually singled out to be discriminated against.  It's a shame too because I love my Marriott Rewards card.  

The rooms are large here.  The elevator takes forever!  I suggest that the hotel adopt elevator music to distract the sluggish speed of that elevator.",3,2,2,4,5,2,2,1,3
